2704,8262
2705,7614
2706,5994
2707,9234
2708,8181
2709,9639
2710,8343
2711,9153
2712,8100
2713,6156
2714,10125
2715,9396
2716,8505
2717,6399
2718,5832
2719,6804
2720,6075
2721,9396
2722,6156
2723,9639
2724,8910
2725,7128
2726,6480
2727,10368
2728,11016
2729,10287
2730,7209
2731,11259
2732,11583
2733,9396
2734,7290
2735,9882
2736,10854
2737,9882
2738,7776
2739,11988
2740,11259
2741,10692
2742,9072
2743,8262
2744,11421
2745,9234
2746,8262
2747,12555
2748,11988
2749,10854
2750,9477
2751,13203
2752,12474
2753,11583
2754,12231
2755,12474
2756,12393
2757,7776
2758,7938
2759,8019
2760,7938
2761,7938
2762,8181
2763,7857
2764,7614
2765,4779
2766,9153
2767,8181
2768,9315
2769,9720
2770,9558
2771,9963
2772,7695
2773,7776
2774,9801
2775,10125
2776,10044
2777,9558
2778,9396
2779,9153
2604,6561
2605,8505
2606,5994
2607,9882
2608,8910
2609,9882
2610,8991
2611,9963
2612,9072
2613,10044
2614,6804
2615,10287
2616,8991
2617,11178
2618,9963
2619,7371
2620,10692
2621,9396
2622,11340
2623,11016
2624,10125
2625,11745
2626,10449
2627,10044
2628,11016
2629,10125
2630,12069
2631,10692
2632,7857
2633,11259
2634,10206
2635,9720
2636,13284
2637,5022
2638,4293
2639,8505
2640,6966
2641,7533
2642,6966
2643,7209
2644,7452
2645,7857
2646,8586
2647,7776
2648,8100
2649,8343
2650,7938
2651,5994
2652,9882
2653,8829
2654,8343
2655,6642
2656,5751
2657,9153
2658,8586
2659,6966
2660,5994
2661,9072
2662,8505
2663,10935
2664,8667
2665,8748
2666,7533
2667,10773
2668,10854
2669,10773
2670,10692
2671,10611
2672,11259
2673,11259
2674,10368
2675,7452
2676,11421
2677,10611
2678,9720
2679,7776
2680,11907
2681,10773
2682,11340
2683,10206
2684,8667
2685,12717
2686,12069
2687,11178
2688,10611
2689,9558
2690,8991
2691,11826
2692,12474
2693,12798
2694,13041
2695,8991
2696,11745
2697,5184
2698,4374
2699,8343
2700,7452
2701,6885
2702,5589
2703,9315
2585,8262
2586,7695
2587,10935
2588,7533
2589,10773
2590,9153
2591,9801
2592,10692
2593,12069
2594,13446
2595,7857
2597,9882
2598,8667
2599,10611
2582,5396
2583,6384
